sequence	contract_row_id	provider_object_id	member_basename	expected_soname	expected_member_size_bytes	expected_member_sha256	observed_sha256	artifact_package	artifact_version	source_result_sha256	source_drive_file_id	byte_carrier_kind	byte_carrier_coordinate	byte_carrier_artifact_sha256	byte_carrier_artifact_size	byte_carrier_repository_filename	source_container_locator	source_member_locator	elf64	aarch64	little_endian	shared_object	soname
27	LSM-CONTRACT-027	object:de13928664709a9cecd61f50	libgobject-2.0.so.0.8200.2	libgobject-2.0.so.0	462584	de13928664709a9cecd61f50dcc4d2294d0c2ff91f147d0827d209cd03af45a6	de13928664709a9cecd61f50dcc4d2294d0c2ff91f147d0827d209cd03af45a6	glib-glibc	2.82.2-2	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/private-dependency-packages/glib-glibc_2.82.2-2_aarch64.deb	d91fe1202c51f7e59b120d3b475e24cdc2ac2cc28f2804e9bcf4919b775978e6	9097100	glib-glibc_2.82.2-2_aarch64.deb	candidate/private-dependency-packages/glib-glibc_2.82.2-2_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libgobject-2.0.so.0.8200.2	YES	YES	YES	YES	YES
28	LSM-CONTRACT-028	object:6caaa46abe585228b0fa45a6	libgraphite2.so.3.2.1	libgraphite2.so.3	225312	6caaa46abe585228b0fa45a60bdbb5e9951384148963856d1ce2e886e5b06e7f	6caaa46abe585228b0fa45a60bdbb5e9951384148963856d1ce2e886e5b06e7f	libgraphite-glibc	1.3.14	b0ae73019a2b442d96daa148219cfcf21f265b8dec48d82aef74dd95d536f29f	-	historical-result-direct-member	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/b0ae73019a2b442d96daa148219cfcf21f265b8dec48d82aef74dd95d536f29f/evidence/member/libgraphite2.so.3.2.1	-	225312	-	EXISTING_AUTHORITY_RECORD	data/data/com.termux/files/usr/glibc/lib/libgraphite2.so.3.2.1	YES	YES	YES	YES	YES
29	LSM-CONTRACT-029	object:0404b91acdaa3a2558e3a112	libgtk-3.so.0.2417.32	libgtk-3.so.0	9900712	0404b91acdaa3a2558e3a11214918692f64d0ba3cebaae4722e3aa4a61f31bc6	0404b91acdaa3a2558e3a11214918692f64d0ba3cebaae4722e3aa4a61f31bc6	gtk3-glibc	3.24.49	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/gtk3-glibc_3.24.49_aarch64.deb	89dd7d0427932d85b439e18aa05021aca623ed876854a875837be87de1b90262	5209576	gtk3-glibc_3.24.49_aarch64.deb	EXISTING_AUTHORITY_RECORD	lib/libgtk-3.so.0.2417.32	YES	YES	YES	YES	YES
30	LSM-CONTRACT-030	object:179133d6e95f6e378f44ad92	libharfbuzz.so.0.61010.0	libharfbuzz.so.0	1314680	179133d6e95f6e378f44ad9222255620ecdd39c30c5aedce028d99f2b28470c6	179133d6e95f6e378f44ad9222255620ecdd39c30c5aedce028d99f2b28470c6	harfbuzz-glibc	10.1.0	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/private-pango-dependency-packages/harfbuzz-glibc_10.1.0_aarch64.deb	d0e4a83180560341dc02fccd3b2df1892338a84c4cecfa4c7f6bc1c2566eacfc	1026848	harfbuzz-glibc_10.1.0_aarch64.deb	candidate/private-pango-dependency-packages/harfbuzz-glibc_10.1.0_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libharfbuzz.so.0.61010.0	YES	YES	YES	YES	YES
31	LSM-CONTRACT-031	object:3d3edba1ecd510ddac243a3c	libiconv.so.2.7.0	libiconv.so.2	1177880	3d3edba1ecd510ddac243a3c9a5a08341219b62bc4c874241a134bc7d250f5be	3d3edba1ecd510ddac243a3c9a5a08341219b62bc4c874241a134bc7d250f5be	libiconv-glibc	1.18	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/private-pango-dependency-packages/libiconv-glibc_1.18_aarch64.deb	19ca841e1f63f223effac9816b9e993e97c17fbe35874960ef84056bfc2f6d7e	595024	libiconv-glibc_1.18_aarch64.deb	candidate/private-pango-dependency-packages/libiconv-glibc_1.18_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libiconv.so.2.7.0	YES	YES	YES	YES	YES
32	LSM-CONTRACT-032	object:a537840ef9da6135cb3284bc	libjpeg.so.62.4.0	libjpeg.so.62	770664	a537840ef9da6135cb3284bc3b3e0d1fb4f624180a416c2a3964b94714eb7fe5	a537840ef9da6135cb3284bc3b3e0d1fb4f624180a416c2a3964b94714eb7fe5	project-libjpeg-turbo-v6b	3.1.0	4e546ac1ef2a92f3301dd51ca2328d6901a05e309da78b6d08b26211d9b621e3	-	exact-v101-nested-private-dev-carrier	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/gdk-pixbuf-2.42.12-private-dev.tar.zst	5bc85ced82b44531025d287ab1eb33abde074ec03030edd3966a74139f824fcf	17025880	candidate/gdk-pixbuf-2.42.12-private-dev.tar.zst	EXISTING_AUTHORITY_RECORD	libjpeg.so.62.4.0	YES	YES	YES	YES	YES
33	LSM-CONTRACT-033	object:6864b9050ddd5884642c98ea	libmount.so.1.1.0	libmount.so.1	526912	6864b9050ddd5884642c98ea4df07e3ceaf78727324d6e9068d1866594ece1c2	6864b9050ddd5884642c98ea4df07e3ceaf78727324d6e9068d1866594ece1c2	libmount-glibc	2.40.2-1	a18426371acf0339731464eea4a6fd1f8c745cc09154629b69e34d1063073c13	1RZw3iAUiJLRTeVk5XyzJV6FDu4rBKT7-	historical-result-direct-member	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/a18426371acf0339731464eea4a6fd1f8c745cc09154629b69e34d1063073c13/termux-native-desktop-gdkpixbuf-exact-util-linux-binding-20260716T151404Z/members/libmount.so.1.1.0	-	526912	-	EXISTING_AUTHORITY_RECORD	data/data/com.termux/files/usr/glibc/lib/libmount.so.1.1.0	YES	YES	YES	YES	YES
34	LSM-CONTRACT-034	object:7debdcbc3dec18f7377e53a0	libpango-1.0.so.0.5400.0	libpango-1.0.so.0	527688	7debdcbc3dec18f7377e53a07a4d14159cde68b4cc07f0ed1c087f9d56268336	7debdcbc3dec18f7377e53a07a4d14159cde68b4cc07f0ed1c087f9d56268336	pango-glibc	1.54.0	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/private-pango-dependency-packages/pango-glibc_1.54.0_aarch64.deb	7fdbef58f2a4fff712db62b7fcd0cab0bde91373eb4d1d133e97e947b9f43084	269992	pango-glibc_1.54.0_aarch64.deb	candidate/private-pango-dependency-packages/pango-glibc_1.54.0_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libpango-1.0.so.0.5400.0	YES	YES	YES	YES	YES
35	LSM-CONTRACT-035	object:c5ac95a46ad20c9536c0d63b	libpangocairo-1.0.so.0.5400.0	libpangocairo-1.0.so.0	67432	c5ac95a46ad20c9536c0d63b38e1ee728f2d71e865e5aad6034e65f89f0ba708	c5ac95a46ad20c9536c0d63b38e1ee728f2d71e865e5aad6034e65f89f0ba708	pango-glibc	1.54.0	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/private-pango-dependency-packages/pango-glibc_1.54.0_aarch64.deb	7fdbef58f2a4fff712db62b7fcd0cab0bde91373eb4d1d133e97e947b9f43084	269992	pango-glibc_1.54.0_aarch64.deb	candidate/private-pango-dependency-packages/pango-glibc_1.54.0_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libpangocairo-1.0.so.0.5400.0	YES	YES	YES	YES	YES
36	LSM-CONTRACT-036	object:d80ef53ee344d7661acfa9b2	libpangoft2-1.0.so.0.5400.0	libpangoft2-1.0.so.0	132848	d80ef53ee344d7661acfa9b2fc863a61f24a2ff4f4492162eaa1582d62c2b305	d80ef53ee344d7661acfa9b2fc863a61f24a2ff4f4492162eaa1582d62c2b305	pango-glibc	1.54.0	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/private-pango-dependency-packages/pango-glibc_1.54.0_aarch64.deb	7fdbef58f2a4fff712db62b7fcd0cab0bde91373eb4d1d133e97e947b9f43084	269992	pango-glibc_1.54.0_aarch64.deb	candidate/private-pango-dependency-packages/pango-glibc_1.54.0_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libpangoft2-1.0.so.0.5400.0	YES	YES	YES	YES	YES
37	LSM-CONTRACT-037	object:cab54c7f8e4c3a5c1980aa75	libpixman-1.so.0.46.4	libpixman-1.so.0	460920	cab54c7f8e4c3a5c1980aa7564b9321114418f2d3c6fa37a3c0723f9f22e1eb2	cab54c7f8e4c3a5c1980aa7564b9321114418f2d3c6fa37a3c0723f9f22e1eb2	libpixman-glibc	0.46.4	3df4f72452b6fb36525ea651f58a0d9d0e551d6ab1f0076653588e767fb1ad9a	1-slSGw5H4_Qn-lL9z8aBeqOBlybW7vBB	historical-result-direct-member	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/3df4f72452b6fb36525ea651f58a0d9d0e551d6ab1f0076653588e767fb1ad9a/evidence/pixman/libpixman-1.so.0.46.4	-	460920	-	EXISTING_AUTHORITY_RECORD	data/data/com.termux/files/usr/glibc/lib/libpixman-1.so.0.46.4	YES	YES	YES	YES	YES
38	LSM-CONTRACT-038	object:00c9fd06c139699552c086b6	libpng16.so.16.47.0	libpng16.so.16	292240	00c9fd06c139699552c086b60d116a01d067ceddddb29c56600bf9fd3bae746f	00c9fd06c139699552c086b60d116a01d067ceddddb29c56600bf9fd3bae746f	libpng-glibc	1.6.47	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/private-dependency-packages/libpng-glibc_1.6.47_aarch64.deb	b2835404d3b0f54b75eb464a58ad5eb46f2d64d4fe1167a7984031f0e990b33f	244276	libpng-glibc_1.6.47_aarch64.deb	candidate/private-dependency-packages/libpng-glibc_1.6.47_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libpng16.so.16.47.0	YES	YES	YES	YES	YES
39	LSM-CONTRACT-039	object:773a629e30546b57d650d9d9	libthai.so.0.3.1	libthai.so.0	78664	773a629e30546b57d650d9d991d18c64490ef5cf53062fec1e02c69ece66bf9c	773a629e30546b57d650d9d991d18c64490ef5cf53062fec1e02c69ece66bf9c	libthai-glibc	0.1.29	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/private-pango-dependency-packages/libthai-glibc_0.1.29_aarch64.deb	5aa1d090525e71302abf48532d522049c59f6aae76880b558558ea97b2c73cd8	251444	libthai-glibc_0.1.29_aarch64.deb	candidate/private-pango-dependency-packages/libthai-glibc_0.1.29_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libthai.so.0.3.1	YES	YES	YES	YES	YES
40	LSM-CONTRACT-040	object:fee84d5d95a085a94d300186	libxkbcommon.so.0.8.0	libxkbcommon.so.0	329744	fee84d5d95a085a94d300186040a54b9844a491b599b1156867624af6b4e8ba9	fee84d5d95a085a94d300186040a54b9844a491b599b1156867624af6b4e8ba9	libxkbcommon-glibc	1.8.0	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/private-xkbcommon-dependency-packages/libxkbcommon-glibc_1.8.0_aarch64.deb	e58eca6f9c0e0d068d80dabd3b289d6b1b4cdaa25fc91053d21392ecfbf54f97	220120	libxkbcommon-glibc_1.8.0_aarch64.deb	candidate/private-xkbcommon-dependency-packages/libxkbcommon-glibc_1.8.0_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libxkbcommon.so.0.8.0	YES	YES	YES	YES	YES
41	LSM-CONTRACT-041	object:6835963ff1be924f73cdd59f	libz.so.1.3.1	libz.so.1	144000	6835963ff1be924f73cdd59f29f2e2521d1705b3ce2d0e90a0c0fd4c5773a070	6835963ff1be924f73cdd59f29f2e2521d1705b3ce2d0e90a0c0fd4c5773a070	zlib-glibc	1.3.1	1d144d407e856a122135ab5ecbc8caebf8196037087fb15821c591a69a850073	1t8tH6GqfGFe2kOVE5_nwLiUhoUp5E1iy	exact-v150-artifact-cache	/data/data/com.termux/files/home/.cache/hw-t-work/v150-20260731T155913Z/exact-artifact-carriers/archives/9e9ea87059482894e4c6cef1101bf47be2fc47012d90fd26bc3c7621e2d33a31.deb	9e9ea87059482894e4c6cef1101bf47be2fc47012d90fd26bc3c7621e2d33a31	74572	pool/stable/z/zlib-glibc/zlib-glibc_1.3.1_aarch64.deb	profiles/freetype-legacy-result-file-index.tsv	data/data/com.termux/files/usr/glibc/lib/libz.so.1.3.1	YES	YES	YES	YES	YES
