coverage_kind	source_id	sequence	implementation_symbol	enforcement_layer	isolated_case	current_state	authority_effect
OPERATION	LSLA-OP-021	21	production_operation_executor	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-022	22	production_operation_executor	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-023	23	production_operation_time	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-024	24	production_operation_time	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-025	25	production_operation_replay	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-026	26	production_operation_replay	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-027	27	production_operation_replay	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-028	28	production_operation_replay	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-029	29	production_operation_protected	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-030	30	production_operation_output	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-031	31	production_operation_output	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-032	32	production_operation_limits	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-033	33	production_operation_limits	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-034	34	production_operation_orchestration	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-035	35	production_operation_orchestration	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-036	36	production_operation_gate	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-037	37	production_operation_gate	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-038	38	production_operation_execute	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-039	39	production_operation_execute	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-040	40	production_operation_execute	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-041	41	production_operation_evidence	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-042	42	production_operation_evidence	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-043	43	production_operation_replay_commit	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-044	44	production_operation_replay_commit	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-045	45	production_operation_protected	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-046	46	production_operation_protected	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-047	47	production_operation_result	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-048	48	production_operation_result	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-049	49	production_operation_result	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-050	50	production_operation_result	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-051	51	production_operation_result	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-052	52	production_operation_finalize	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-001	1	production_failure_package	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	package-invalid	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-002	2	production_failure_source_authority	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	source-authority-invalid	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-003	3	production_failure_owner_decision	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	owner-decision-invalid	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-004	4	production_failure_owner_token	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	owner-token-invalid	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-005	5	production_failure_coordinate_receipt	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	coordinate-receipt-invalid	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-006	6	production_failure_revocation	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	revocation-invalid	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-007	7	production_failure_execution_authorization	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	execution-authorization-invalid	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-008	8	production_failure_repository_baseline	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	repository-baseline-invalid	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-009	9	production_failure_remote_baseline	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	remote-baseline-invalid	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-010	10	production_failure_executor	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	executor-invalid	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-011	11	production_failure_trusted_time	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	trusted-time-invalid	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-012	12	production_failure_replay_registry	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	replay-registry-invalid	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-013	13	production_failure_replay_duplicate	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	replay-duplicate	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-014	14	production_failure_replay_order	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	replay-order-invalid	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-015	15	production_failure_protected_before	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	protected-before-invalid	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-016	16	production_failure_output_root	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	output-root-invalid	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-017	17	production_failure_resource_limit	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	resource-limit-invalid	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-018	18	production_failure_orchestration_identity	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	orchestration-identity-invalid	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-019	19	production_failure_synthetic_rewrite	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	synthetic-rewrite-attempt	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-020	20	production_failure_premature_provider_open	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	premature-provider-open	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-021	21	production_failure_provider_path	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	provider-path-invalid	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-022	22	production_failure_provider_content	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	provider-content-invalid	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-023	23	production_failure_whole_map	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	whole-map-invalid	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-024	24	production_failure_evidence_receipt	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	evidence-receipt-invalid	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-025	25	production_failure_replay_append	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	replay-append-failed	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-026	26	production_failure_protected_after	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	protected-after-invalid	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-027	27	production_failure_protected_invariance	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	protected-invariance-failed	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-028	28	production_failure_result_index	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	result-index-failed	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-029	29	production_failure_result_delivery	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	result-delivery-failed	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
FAILURE	LSLA-FAIL-030	30	production_failure_rollback_recovery	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	rollback-recovery-failed	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
