sequence	contract_row_id	materializer_plan_row_id	provider_object_id	local_regular_file_path	observed_member_sha256	st_size	observed_soname	elf_class	elf_data	elf_machine	elf_type	result_remote	result_sha256	result_index_contract_kind	result_index_identity	container_class	container_locator	member_locator	validation_state	st_uid	st_mode	st_dev	st_ino	st_mtime_ns	st_ctime_ns
26	LSM-CONTRACT-026	MAT-OBJ-026	object:feaad9c286e9a1af3cff94a7	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/26-feaad9c286e9a1af/libgmodule-2.0.so.0.8200.2	feaad9c286e9a1af3cff94a78924f543bc0f4d7f8dfc05c9ec13eb1c3d8764bf	67472	libgmodule-2.0.so.0	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-dependency-packages/glib-glibc_2.82.2-2_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libgmodule-2.0.so.0.8200.2	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2582681	1785514897920547878	1785514897920547878
27	LSM-CONTRACT-027	MAT-OBJ-027	object:de13928664709a9cecd61f50	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/27-de13928664709a9c/libgobject-2.0.so.0.8200.2	de13928664709a9cecd61f50dcc4d2294d0c2ff91f147d0827d209cd03af45a6	462584	libgobject-2.0.so.0	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-dependency-packages/glib-glibc_2.82.2-2_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libgobject-2.0.so.0.8200.2	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2582683	1785514898124547878	1785514898124547878
28	LSM-CONTRACT-028	MAT-OBJ-028	object:6caaa46abe585228b0fa45a6	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/28-6caaa46abe585228/libgraphite2.so.3.2.1	6caaa46abe585228b0fa45a60bdbb5e9951384148963856d1ce2e886e5b06e7f	225312	libgraphite2.so.3	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	sha256:b0ae73019a2b442d96daa148219cfcf21f265b8dec48d82aef74dd95d536f29f	b0ae73019a2b442d96daa148219cfcf21f265b8dec48d82aef74dd95d536f29f	EXISTING_AUTHORITY_DIGEST_SENTINEL	EXISTING_AUTHORITY_DIGEST	EXISTING_AUTHORITY_RECORD_MEMBER	EXISTING_AUTHORITY_RECORD	data/data/com.termux/files/usr/glibc/lib/libgraphite2.so.3.2.1	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2583422	1785514901520547876	1785514901520547876
29	LSM-CONTRACT-029	MAT-OBJ-029	object:0404b91acdaa3a2558e3a112	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/29-0404b91acdaa3a25/libgtk-3.so.0.2417.32	0404b91acdaa3a2558e3a11214918692f64d0ba3cebaae4722e3aa4a61f31bc6	9900712	libgtk-3.so.0	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	sha256:ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	EXISTING_AUTHORITY_DIGEST_SENTINEL	EXISTING_AUTHORITY_DIGEST	EXISTING_AUTHORITY_RECORD_MEMBER	EXISTING_AUTHORITY_RECORD	lib/libgtk-3.so.0.2417.32	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2582685	1785514898452547878	1785514898452547878
30	LSM-CONTRACT-030	MAT-OBJ-030	object:179133d6e95f6e378f44ad92	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/30-179133d6e95f6e37/libharfbuzz.so.0.61010.0	179133d6e95f6e378f44ad9222255620ecdd39c30c5aedce028d99f2b28470c6	1314680	libharfbuzz.so.0	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-pango-dependency-packages/harfbuzz-glibc_10.1.0_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libharfbuzz.so.0.61010.0	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2582764	1785514898740547878	1785514898740547878
31	LSM-CONTRACT-031	MAT-OBJ-031	object:3d3edba1ecd510ddac243a3c	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/31-3d3edba1ecd510dd/libiconv.so.2.7.0	3d3edba1ecd510ddac243a3c9a5a08341219b62bc4c874241a134bc7d250f5be	1177880	libiconv.so.2	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-pango-dependency-packages/libiconv-glibc_1.18_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libiconv.so.2.7.0	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2582811	1785514898968547877	1785514898968547877
32	LSM-CONTRACT-032	MAT-OBJ-032	object:a537840ef9da6135cb3284bc	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/32-a537840ef9da6135/libjpeg.so.62.4.0	a537840ef9da6135cb3284bc3b3e0d1fb4f624180a416c2a3964b94714eb7fe5	770664	libjpeg.so.62	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	sha256:4e546ac1ef2a92f3301dd51ca2328d6901a05e309da78b6d08b26211d9b621e3	4e546ac1ef2a92f3301dd51ca2328d6901a05e309da78b6d08b26211d9b621e3	EXISTING_AUTHORITY_DIGEST_SENTINEL	EXISTING_AUTHORITY_DIGEST	EXISTING_AUTHORITY_RECORD_MEMBER	EXISTING_AUTHORITY_RECORD	libjpeg.so.62.4.0	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2594048	1785514903088547876	1785514903088547876
33	LSM-CONTRACT-033	MAT-OBJ-033	object:6864b9050ddd5884642c98ea	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/33-6864b9050ddd5884/libmount.so.1.1.0	6864b9050ddd5884642c98ea4df07e3ceaf78727324d6e9068d1866594ece1c2	526912	libmount.so.1	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	sha256:a18426371acf0339731464eea4a6fd1f8c745cc09154629b69e34d1063073c13	a18426371acf0339731464eea4a6fd1f8c745cc09154629b69e34d1063073c13	EXISTING_AUTHORITY_DIGEST_SENTINEL	EXISTING_AUTHORITY_DIGEST	EXISTING_AUTHORITY_RECORD_MEMBER	EXISTING_AUTHORITY_RECORD	data/data/com.termux/files/usr/glibc/lib/libmount.so.1.1.0	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2583303	1785514900476547877	1785514900476547877
34	LSM-CONTRACT-034	MAT-OBJ-034	object:7debdcbc3dec18f7377e53a0	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/34-7debdcbc3dec18f7/libpango-1.0.so.0.5400.0	7debdcbc3dec18f7377e53a07a4d14159cde68b4cc07f0ed1c087f9d56268336	527688	libpango-1.0.so.0	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-pango-dependency-packages/pango-glibc_1.54.0_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libpango-1.0.so.0.5400.0	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2582892	1785514899144547877	1785514899144547877
35	LSM-CONTRACT-035	MAT-OBJ-035	object:c5ac95a46ad20c9536c0d63b	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/35-c5ac95a46ad20c95/libpangocairo-1.0.so.0.5400.0	c5ac95a46ad20c9536c0d63b38e1ee728f2d71e865e5aad6034e65f89f0ba708	67432	libpangocairo-1.0.so.0	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-pango-dependency-packages/pango-glibc_1.54.0_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libpangocairo-1.0.so.0.5400.0	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2582894	1785514899252547877	1785514899252547877
36	LSM-CONTRACT-036	MAT-OBJ-036	object:d80ef53ee344d7661acfa9b2	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/36-d80ef53ee344d766/libpangoft2-1.0.so.0.5400.0	d80ef53ee344d7661acfa9b2fc863a61f24a2ff4f4492162eaa1582d62c2b305	132848	libpangoft2-1.0.so.0	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-pango-dependency-packages/pango-glibc_1.54.0_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libpangoft2-1.0.so.0.5400.0	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2582896	1785514899340547877	1785514899340547877
37	LSM-CONTRACT-037	MAT-OBJ-037	object:cab54c7f8e4c3a5c1980aa75	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/37-cab54c7f8e4c3a5c/libpixman-1.so.0.46.4	cab54c7f8e4c3a5c1980aa7564b9321114418f2d3c6fa37a3c0723f9f22e1eb2	460920	libpixman-1.so.0	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	sha256:3df4f72452b6fb36525ea651f58a0d9d0e551d6ab1f0076653588e767fb1ad9a	3df4f72452b6fb36525ea651f58a0d9d0e551d6ab1f0076653588e767fb1ad9a	EXISTING_AUTHORITY_DIGEST_SENTINEL	EXISTING_AUTHORITY_DIGEST	EXISTING_AUTHORITY_RECORD_MEMBER	EXISTING_AUTHORITY_RECORD	data/data/com.termux/files/usr/glibc/lib/libpixman-1.so.0.46.4	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2583415	1785514901304547877	1785514901304547877
38	LSM-CONTRACT-038	MAT-OBJ-038	object:00c9fd06c139699552c086b6	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/38-00c9fd06c1396995/libpng16.so.16.47.0	00c9fd06c139699552c086b60d116a01d067ceddddb29c56600bf9fd3bae746f	292240	libpng16.so.16	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-dependency-packages/libpng-glibc_1.6.47_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libpng16.so.16.47.0	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2582940	1785514899484547877	1785514899484547877
39	LSM-CONTRACT-039	MAT-OBJ-039	object:773a629e30546b57d650d9d9	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/39-773a629e30546b57/libthai.so.0.3.1	773a629e30546b57d650d9d991d18c64490ef5cf53062fec1e02c69ece66bf9c	78664	libthai.so.0	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-pango-dependency-packages/libthai-glibc_0.1.29_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libthai.so.0.3.1	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2583066	1785514899656547877	1785514899656547877
40	LSM-CONTRACT-040	MAT-OBJ-040	object:fee84d5d95a085a94d300186	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/40-fee84d5d95a085a9/libxkbcommon.so.0.8.0	fee84d5d95a085a94d300186040a54b9844a491b599b1156867624af6b4e8ba9	329744	libxkbcommon.so.0	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-xkbcommon-dependency-packages/libxkbcommon-glibc_1.8.0_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libxkbcommon.so.0.8.0	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2583134	1785514899824547877	1785514899824547877
41	LSM-CONTRACT-041	MAT-OBJ-041	object:6835963ff1be924f73cdd59f	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/41-6835963ff1be924f/libz.so.1.3.1	6835963ff1be924f73cdd59f29f2e2521d1705b3ce2d0e90a0c0fd4c5773a070	144000	libz.so.1	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/termux-native-desktop-freetype-bounded-provider-authority-20260717T114408Z/termux-native-desktop-freetype-bounded-provider-authority-20260717T114408Z-results.tar.zst	1d144d407e856a122135ab5ecbc8caebf8196037087fb15821c591a69a850073	APPEND_ONLY_INDEX_RECEIPT_SHA256	eed95221332a7dd309788b72e651ccb7c40ca91ffe6f7f3ea231433804b787f7	APPEND_ONLY_RESULT_FILE_INDEX_MEMBER	profiles/freetype-legacy-result-file-index.tsv	data/data/com.termux/files/usr/glibc/lib/libz.so.1.3.1	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2583408	1785514900992547877	1785514900992547877
